,budget,company,country,director,gross,name,rate,star,voter
135,"MXN 1,200,000","9.5 Grados en la escala de Richter,La Chancla Producciones,See more »,",Mexico,Alan Coton,,Soba (2004) ,6.1,"Claudia Soberón,Dagoberto Gama,Antonio Algarra,|,See full cast & crew,",64
136,,,Spain,Antonio Morales,,Marisa en los bosques (2017) ,6.2,"Patricia Jordá,Aida de la Cruz,Mauricio Bautista,|,See full cast & crew,",31
137,"$2,500,000","Active Fox Productions,JMC Independent Productions,The Film Community,See more »,",USA,Susan Seidelman,"$31,478,",Musical Chairs (2011) ,4.9,"Leah Pipes,E.J. Bonilla,Priscilla Lopez,|,See full cast & crew,",261
138,,"C'est au 3,C'est au 4,See more »,","France,Pakistan",,,Noor (2012) ,7.2,"Uzma Ali,Baba Hussain,Noor,|,See full cast & crew,",70
139,"$50,000","Coach Cromer Productions,See more »,",USA,James Bubba Cromer,,The Hills Have Thighs (2008) ,3.4,"Hance Oliver,Dona Ayers,Mona Lisa Johnson,|,See full cast & crew,",57
140,"$1,500,000","Instituto Mexicano de Cinematografía (IMCINE),Tiburón Filmes,See more »,",Mexico,Rigoberto Pérezcano,,Carmin Tropical (2014) ,7.2,"José Pescina,Luis Alberti,Everardo Trejo,|,See full cast & crew,",161
141,"$2,500,000","Sidus,See more »,",South Korea,,,Cheonhajangsa madonna (2006) ,6.7,"Yun-shik Baek,Ki-Joon Hong,Kyeong-ik Kim,|,See full cast & crew,",316
142,,"Z Films,See more »,",Pakistan,Hassan Zee,,Salam Pakistan (2018) ,8.7,"Naghma,Ali Raza,Meerab Khan,|,See full cast & crew,",21
143,"$180,000","qWaves.com,See more »,",USA,,,Out in the Silence (2009) ,5.0,"C.J. Bills,Diane Granley,Linda Henderson,|,See full cast & crew,",453
144,,,"Belgium,USA",Michiel Thomas,,Game Face (2015) ,6.4,"Kye Allums,Terrence Clemens,Jason Collins,|,See full cast & crew,",111
145,"INR 85,000,000","Raghavendra Productions,See more »,",India,Lawrence Raghavendra,,Kanchana: Muni 2 (2011) ,6.5,"Lawrence Raghavendra,Sarath Kumar,Kovai Sarala,|,See full cast & crew,",722
146,,"Continuity Productions,See more »,",USA,Steven Rothblatt,,Oh Baby! (2008) ,7.6,"Claudia Abundis,Jorge Alberti,Laura Cerón,|,See full cast & crew,",22
147,,,USA,Wolfgang Busch,,How Do I Look (2006) ,7.7,"Tracy Africa,Kevin Aviance,Jose Guitierez,|,See full cast & crew,",15
148,"$100,000","For Now Productions,Missing Hill Productions,See more »,",USA,Nate Locklear,,God Made Man (2019) ,0,"Samantha Ireland,Mike Gassaway,Lee Dawn Hershey,|,See full cast & crew,",0
149,"£350,000","Medb Films,Entertainment Motion Pictures (E-MOTION),Le Tax Shelter du Gouvernement Fédéral de Belgique,See more »,",UK,Jan Dunn,,Ruby Blue (2007) ,6.8,"Bob Hoskins,Josiane Balasko,Jody Latham,|,See full cast & crew,",198
150,,,Italy,Lorenzo Lombardi,,In the Market (2009) ,1.9,"Ottaviano Blitch,Rossella Caiani,Gloria Cocco,|,See full cast & crew,",265
