,budget,company,country,director,gross,name,rate,star,voter
102,"€2,700,000","Claussen & Wöbke Filmproduktion GmbH,ProSieben Entertainment,Seven Pictures,See more »,",Germany,Marco Kreuzpaintner,"$95,016,",Sommersturm (2004) ,7.4,"Robert Stadlober,Kostja Ullmann,Miriam Morgenstern,|,See full cast & crew,","12,408"
103,"€2,500,000","APT Films,Aria Films,Factotum Barcelona S.L.,See more »,","UK,Spain",Paul Morrison,"$480,339,",Little Ashes (2008) ,6.6,"Robert Pattinson,Javier Beltrán,Matthew McNulty,|,See full cast & crew,","8,044"
104,,"Ei2 Media,Mil Nubes-Cine,Áurea Digital,See more »,",Mexico,Julián Hernández,,Yo soy la felicidad de este mundo (2014) ,4.5,"Hugo Catalán,Gabino Rodríguez,Andrea Portal,|,See full cast & crew,",696
105,"$10,000,000","Stratus Film Co.,DEJ Productions,Equity Pictures Medienfonds GmbH & Co. KG II,See more »,","Ireland,Germany,USA",Richard Shepard,"$12,594,698,",The Matador (2005) ,6.8,"Pierce Brosnan,Greg Kinnear,Hope Davis,|,See full cast & crew,","42,287"
106,"$1,000,000","Power Up Films,See more »,",USA,Jamie Babbit,"$18,479,",Itty Bitty Titty Committee (2007) ,5.6,"Melonie Diaz,Ana Mercedes,Cecile Rivore,|,See full cast & crew,","2,690"
107,,"Mighty Cheese Productions,See more »,",USA,Paul Provenza,"$6,377,277,",The Aristocrats (2005) ,6.4,"George Carlin,Don Rickles,Chris Rock,|,See full cast & crew,","15,528"
108,"$450,000","Good Machine,Roadside Attractions,See more »,",USA,Jim Fall,"$2,049,595,",Trick (1999) ,7.2,"Christian Campbell,John Paul Pitoc,Tori Spelling,|,See full cast & crew,","7,603"
109,"$850,000","ADAPT,Ishaan Talkies,Jakhotia Group,See more »,",India,,,Margarita with a Straw (2014) ,7.3,"Kalki Koechlin,Revathy,Sayani Gupta,|,See full cast & crew,","2,772"
110,"$6,500,000","Hart-Sharp Entertainment,John Wells Productions,Killer Films,See more »,",USA,Michael Mayer,"$1,029,872,",A Home at the End of the World (2004) ,6.7,"Colin Farrell,Dallas Roberts,Robin Wright,|,See full cast & crew,","12,705"
111,,"Agência Nacional do Cinema (ANCINE),Audiovisual Aval SGR,Axencia Galega das Industrias Culturais (AGADIC),See more »,","Spain,Brazil",Xavier Villaverde,,El sexo de los ángeles (2012) ,6.6,"Astrid Bergès-Frisbey,Álvaro Cervantes,Llorenç González,|,See full cast & crew,","4,043"
112,"$15,000","Argentic Pictures,Outside Films,See more »,",USA,Colton Lawrence,,The Sex Movie (2006) ,4.9,"Michelle Mosley,Matthew Tyler,Mike Fallon,|,See full cast & crew,",783
