,name,year,genre
317,A Wedding Most Strange,(2011)," Comedy, Drama, Family            "
318,The Pretty Boys,(2011), Action            
319,The Hills Have Thighs,(2008), Comedy            
320,Chô-inran: Shimai donburi,(1998)," Drama, Horror            "
321,Goo waak zai: Hung Hing Sap Saam Mooi,(1998), Drama            
322,The Brotherhood V: Alumni,(2009)," Horror, Thriller            "
323,Los días particulares,(2018)," Comedy, Drama, Romance            "
324,"The Young, the Gay and the Restless",(2006)," Comedy, Drama            "
325,Amores Possíveis,(2001)," Comedy, Romance, Drama            "
326,Oh Baby!,(2008), Comedy            
327,Cat Dancers,(2007), Documentary            
328,Lady Peacock,(2014)," Comedy, Romance            "
329,An Affirmative Act,(2010)," Crime, Drama, Mystery            "
330,Story of a Bad Boy,(1999)," Comedy, Drama, Music            "
331,Wrangler: Anatomy of an Icon,(2008)," Documentary, Biography, Romance            "
332,Faites comme si je n'étais pas là,(2000), Drama            
333,Tied Up,(2004)," Crime, Drama, Horror            "
334,LAID: Life as It's Dealt,(2013)," Drama, Romance            "
335,Stille Nacht,(2004)," Crime, Drama, Mystery            "
336,Words,(I) (2018), Documentary            
337,Varuh meje,(2002)," Drama, Horror, Mystery            "
338,T.M.A.,(2009)," Horror, Mystery, Thriller            "
339,Unhappy Birthday,(2011)," Drama, Horror, Mystery            "
340,Three,(I) (2018)," Drama, Romance            "
341,My Girlfriend's Boyfriend,(1999)," Comedy, Romance            "
342,The Freediver,(2004)," Action, Adventure            "
343,Straightlaced: How Gender's Got Us All Tied Up,(2009), Documentary            
344,Bi the Way,(2008), Documentary            
345,Xingxing xiangxi xi,(2008)," Drama, Sci-Fi            "
346,Das Trio,(1998)," Comedy, Crime, Romance            "
347,More Than Friendship,(2013)," Drama, Romance            "
348,Divin enfant,(2014), Comedy            
349,Pick Up the Mic,(2006), Documentary            
350,Thoth,(2002)," Documentary, Music            "
351,L'arbre et la forêt,(2010), Drama            
352,Chronic,(2017), Drama            
353,Défense d'aimer,(2002), Drama            
354,Blind Target,(2000)," Adventure, Thriller, Action            "
355,Shem,(2004), Drama            
356,The Ski Trip,(2004)," Comedy, Romance            "
357,Apo thavma,(2010), Drama            
358,Flirting with Anthony,(2005)," Romance, Thriller            "
359,Nincsen nekem vágyam semmi,(2000), Drama            
360,Late Fragment,(2007), Drama            
361,Billy Shakespeare,(2014)," Comedy, Romance            "
362,Tigerstreifenbaby wartet auf Tarzan,(1998), Drama            
363,Nonsense Revolution,(2008)," Comedy, Drama            "
364,Gay Positive,(2014), Documentary            
365,Wake Up Alone,(2017), Drama            
366,Six Sex Scenes and a Murder,(2008)," Crime, Mystery            "
367,Isola: Tajuu jinkaku shôjo,(2000)," Action, Drama, Horror            "
368,Amic/Amat,(1999), Drama            
369,El sueño de Ibiza,(2002)," Drama, Romance            "
370,Bachelor,(2016), Comedy            
371,Why Be Good? Sexuality & Censorship in Early Cinema,(2007)," Documentary, History            "
372,Miente,(2009)," Drama, Mystery, Thriller            "
373,Quanto Dura o Amor?,(2009)," Drama, Romance            "
374,Rizoto,(2000)," Comedy, Drama, Romance            "
375,Verde verde,(2012), Drama            
376,Luma,(I) (2015), Drama            
377,Southwest,(I) (2013)," Action, Crime, Drama            "
378,Totally Confused,(1998), Comedy            
379,The Private Public,(2001)," Comedy, Drama            "
380,Paname,(2010)," Drama, Romance            "
381,Three of Hearts: A Postmodern Family,(2004), Documentary            
382,Blue,(II) (2002)," Drama, Romance            "
383,Hua wei mei,(2011)," Drama, Romance            "
384,Sono positivo,(1999)," Comedy, Drama            "
385,5 sehat 4 sempurna,(2002), Comedy            
386,Speak Like a Child,(1998)," Comedy, Drama, Romance            "
387,Finding Me: Truth,(2011)," Drama, Romance            "
388,Vagón fumador,(2001), Drama            
389,Both,(2005), Documentary            
390,Free Havana,(2012), Documentary            
391,Dangerous Living: Coming Out in the Developing World,(2003)," Comedy, Drama, Romance            "
392,Broken Gardenias,(2014), Documentary            
393,Ten More Good Years,(2007), Documentary            
394,Du ska nog se att det går över,(2003), Drama            
395,Suicide Service,(2017)," Drama, Fantasy, Mystery            "
396,Cherry,(I) (2009), Documentary            
