,budget,company,country,director,gross,name,rate,star,voter
1290,"$28,000","10% Productions,See more »,",USA,Jeff London,,And Then Came Summer (2000) ,4.6,"Patrick Webber,Tim Madonna,Holly Waddell,|,See full cast & crew,",358
1291,"$200,000","Dream Out Loud Productions,See more »,",USA,Louise Hogarth,,The Gift (2003) ,6.7,,193
1292,"£1,000",,UK,Richard Mansfield,,The Secret Kiss (2017) ,4.0,"Tom Beedim,Sert Fetti,Daniel Mansfield,|,See full cast & crew,",29
1293,,"Salzgeber & Company Medien,See more »,",Germany,Stefan Butzmühlen,,Lichtes Meer (2015) ,5.7,"Martin Sznur,Jules Sagot,Katharina Melchior,|,See full cast & crew,",213
1294,,"Grupong Sinehan,UP Cineastes' Studio,See more »,",Philippines,Crisaldo Pablo,,Duda (2003) ,4.7,"Andoy Ranay,Paulo Gabriel,Jojo Nones,|,See full cast & crew,",84
1295,"£75,000","Flyswot Films,See more »,","UK,USA,France",Simon Savory,,Bruno & Earlene Go to Vegas (2013) ,5.1,"Miles Szanto,Ashleigh Sumner,Barrett Crake,|,See full cast & crew,",117
1296,,"Sawed-Off Collaboratory Productions,See more »,",USA,Morgan Jon Fox,,This Is What Love in Action Looks Like (2011) ,6.7,"Alice Buchanan,Lance Carroll,Chris Davis,|,See full cast & crew,",198
1297,,"Mugshots,See more »,",UK,,,Mr. Right (2009) ,5.7,"James Lance,Luke de Woolfson,Benjamin Hart,|,See full cast & crew,",423
1298,,"United Gay Network,See more »,",USA,Michael D. Akers,,Phoenix (2006) ,5.7,"Chad Bartley,Jeff Castle,Gaetano Jones,|,See full cast & crew,",312
1299,,,USA,Michael Simon,,The Love Patient (2011) ,5.3,"Benjamin Lutz,John Werskey,Jackson Palmer,|,See full cast & crew,",400
1300,,"Gorilla Factory Productions,See more »,","USA,Canada",Jim Tushinski,"$55,398,",That Man: Peter Berlin (2005) ,7.0,"Peter Berlin,Armistead Maupin,John Waters,|,See full cast & crew,",354
1301,,"Gaston Pictures,Independent Flight Productions,See more »,",USA,Robert Gaston,,Flight of the Cardinal (2010) ,4.6,"Ross Beschler,David J. Bonner,Claire Bowerman,|,See full cast & crew,",143
