,name,year,genre,rate,voter,director,star,country,company,budget,gross
54,Wonder Boys,(2000)," Comedy, Drama            ",7.4,"57,947",Curtis Hanson,"Michael Douglas,Tobey Maguire,Frances McDormand,|,See full cast & crew,","USA,Germany,UK,Japan","British Broadcasting Corporation (BBC),MFF Feature Film Productions,Marubeni,See more »,","$55,000,000","$19,389,454,"
55,"Plaire, aimer et courir vite",(2018)," Drama, Romance            ",6.8,888,Christophe Honoré,"Vincent Lacoste,Pierre Deladonchamps,Denis Podalydès,|,See full cast & crew,",France,"Les Films Pelléas,Arte France Cinéma,Canal+,See more »,",,
56,Zombie Strippers!,(2008)," Comedy, Horror, Sci-Fi            ",4.1,"16,760",Jay Lee,"Jenna Jameson,Robert Englund,Roxy Saint,|,See full cast & crew,",USA,"Stage 6 Films,Larande Productions,Scream HQ,See more »,",,
57,Bloomington,(2010), Drama            ,6.0,"4,291",Fernanda Cardoso,"Allison McAtee,Sarah Stouffer,Katherine Ann McGregor,|,See full cast & crew,",USA,"Frontier Studios,See more »,",,
58,Freier Fall,(2013)," Drama, Romance            ",7.6,"15,172",Stephan Lacant,"Hanno Koffler,Max Riemelt,Attila Borlan,|,See full cast & crew,",Germany,"Kurhaus Production,Südwestrundfunk (SWR),See more »,",,
59,Summer of Sam,(1999)," Crime, Drama, Romance            ",6.6,"33,495",Spike Lee,"John Leguizamo,Adrien Brody,Mira Sorvino,|,See full cast & crew,",USA,"40 Acres & A Mule Filmworks,Touchstone Pictures,Hostage Productions,See more »,","$22,000,000","$19,283,782,"
60,Brideshead Revisited,(2008)," Drama, Romance            ",6.7,"11,178",Julian Jarrold,"Matthew Goode,Patrick Malahide,Hayley Atwell,|,See full cast & crew,","UK,Italy,Morocco","Ecosse Films,BBC Films,UK Film Council,See more »,","$20,000,000","$6,414,563,"
61,Savage Grace,(2007), Drama            ,5.9,"9,931",Tom Kalin,"Julianne Moore,Eddie Redmayne,Stephen Dillane,|,See full cast & crew,","France,Spain,USA","Celluloid Dreams,Montfort Producciones,Killer Films,See more »,","$4,600,000","$434,417,"
62,Our Idiot Brother,(2011)," Comedy, Drama            ",6.4,"79,545",Jesse Peretz,"Paul Rudd,Elizabeth Banks,Zooey Deschanel,|,See full cast & crew,",USA,"Big Beach Films,Likely Story,The Weinstein Company,See more »,","$5,000,000","$24,814,830,"
63,Sorority Boys,(2002), Comedy            ,5.5,"12,981",Wallace Wolodarsky,"Barry Watson,Harland Williams,Michael Rosenbaum,|,See full cast & crew,",USA,"Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST),Touchstone Pictures,See more »,","$12,000,000","$10,198,766,"
64,Lap Dance,(2014), Drama            ,5.0,"2,205",Greg Carter,"Briana Evigan,James Remar,Stacey Dash,|,See full cast & crew,",USA,"Imprint Entertainment,Datari Turner Productions,Gordon Bijelonic / Datari Turner Films,See more »,","$2,000,000",
65,Chroniques sexuelles d'une famille d'aujourd'hui,(2012)," Comedy, Drama, Romance            ",5.3,"3,380",,"Mathias Melloul,Valérie Maës,Stephan Hersoen,|,See full cast & crew,",France,"Toloda,Monkey Pack Films,Supersonic Productions,See more »,",,
66,Where the Truth Lies,(2005)," Crime, Drama, Mystery            ",6.5,"16,091",Atom Egoyan,"Kevin Bacon,Colin Firth,Alison Lohman,|,See full cast & crew,","Canada,UK","Serendipity Point Films,First Choice Films,The Movie Network (TMN),See more »,","$25,000,000","$871,527,"
67,Les amours imaginaires,(2010)," Drama, Romance            ",7.2,"23,479",Xavier Dolan,"Xavier Dolan,Monia Chokri,Niels Schneider,|,See full cast & crew,",Canada,"Mifilifilms,Quebec Film and Television Tax Credit,Canadian Film or Video Production Tax Credit (CPTC),See more »,","CAD 600,000","$62,985,"
68,Frontière(s),(2007), Horror            ,6.3,"22,846",Xavier Gens,"Karina Testa,Aurélien Wiik,Patrick Ligardes,|,See full cast & crew,","France,Switzerland","Cartel Productions,BR Films,EuropaCorp,See more »,","$3,000,000",
69,Titus,(1999)," Drama, History, Thriller            ",7.2,"18,614",Julie Taymor,"Anthony Hopkins,Jessica Lange,Osheen Jones,|,See full cast & crew,","USA,Italy,UK","Clear Blue Sky Productions,Overseas FilmGroup,Urania Pictures S.r.l.,See more »,",,"$1,921,350,"
70,Kissing Jessica Stein,(2001)," Comedy, Drama, Romance            ",6.6,"15,069",Charles Herman-Wurmfeld,"Jennifer Westfeldt,Heather Juergensen,Tovah Feldshuh,|,See full cast & crew,",USA,"Fox Searchlight Pictures,Brad Zions Films,Eden Wurmfeld Films,See more »,","$1,000,000","$7,022,940,"
71,Contracted,(2013)," Drama, Horror, Thriller            ",5.3,"13,005",Eric England,"Najarra Townsend,Caroline Williams,Alice Macdonald,|,See full cast & crew,",USA,"BoulderLight Pictures,Southern Fried Films,See more »,",,"$4,105"
72,Kiss the Bride,(2002)," Comedy, Drama, Romance            ",5.5,"1,059",Vanessa Parise,"Amanda Detmer,Sean Patrick Flanery,Brooke Langton,|,See full cast & crew,",USA,"Empera Pictures,Imageworks Entertainment International,Replay Pictures,See more »,",,
73,Feast of Love,(2007)," Drama, Romance            ",6.7,"15,221",Robert Benton,"Morgan Freeman,Radha Mitchell,Alexa Davalos,|,See full cast & crew,",USA,"GreeneStreet Films,Lakeshore Entertainment,Metro-Goldwyn-Mayer (MGM),See more »,",,"$3,504,875,"
74,The Opposite of Sex,(1998), Comedy            ,6.5,"19,159",Don Roos,"Christina Ricci,Martin Donovan,Lisa Kudrow,|,See full cast & crew,",USA,"Rysher Entertainment,See more »,","$5,000,000","$5,881,367"
75,The History Boys,(2006)," Comedy, Drama, Romance            ",6.9,"19,135",Nicholas Hytner,"Richard Griffiths,Frances de la Tour,Clive Merrison,|,See full cast & crew,",UK,"Fox Searchlight Pictures,DNA Films,BBC Two Films,See more »,","£2,000,000","$2,706,659,"
