,budget,company,country,director,gross,name,rate,star,voter
380,"$9,000,000","Elevation Filmworks,Picturehouse,Ursa Major Films LLC,See more »,",USA,Davis Guggenheim,"$2,955,039,",Gracie (2007) ,6.2,"Carly Schroeder,Andrew Shue,Elisabeth Shue,|,See full cast & crew,","3,822"
381,"€3,000,000","ICE3,Studio 37,Rhône-Alpes Cinéma,See more »,",France,Sophie Laloy,,Je te mangerais (2009) ,5.7,"Judith Davis,Marc Chapiteau,Fabienne Babe,|,See full cast & crew,","1,111"
382,,"Blueeyes Productions,Filmhuset AS,Liberator Productions,See more »,","Iceland,Denmark,France,Norway,Germany",Baltasar Kormákur,"$12,182,",101 Reykjavík (2000) ,6.9,"Hilmir Snær Guðnason,Victoria Abril,Hanna María Karlsdóttir,|,See full cast & crew,","8,865"
383,,"Miramax,Brillstein-Grey Entertainment,Immortal Entertainment,See more »,",USA,Cheryl Dunye,"$17,321,573,",My Baby's Daddy (2004) ,4.5,"Eddie Griffin,Anthony Anderson,Michael Imperioli,|,See full cast & crew,","3,311"
384,,"Bocaboca Producciones,Aurum Producciones,DMVB Films,See more »,","Spain,France",Manuel Gómez Pereira,,Entre las piernas (1999) ,6.4,"Victoria Abril,Javier Bardem,Carmelo Gómez,|,See full cast & crew,","2,530"
385,"$2,200,000","Fencesitter Films,See more »,",USA,Kyle Schickner,,Steam (2007) ,5.2,"Ruby Dee,Ally Sheedy,Kate Siegel,|,See full cast & crew,",148
386,€500,"BrennFilm,IO Filmproducties,See more »,",Netherlands,Stephan Brenninkmeijer,,Lotgenoten (2013) ,5.3,"Alfred Heppener,Heleen van Doremalen,Fransie Groenendijk,|,See full cast & crew,",113
387,"$3,000,000","Prominent Pictures,Worldview Entertainment,Indion Entertainment Group,See more »,",USA,Chris Nelson,,Ass Backwards (2013) ,4.2,"June Diane Raphael,Casey Wilson,Jon Cryer,|,See full cast & crew,","1,971"
388,,"Orion Pictures,Capella International,See more »,",USA,Charlie Peters,,Music from Another Room (1998) ,6.5,"Jude Law,Jennifer Tilly,Gretchen Mol,|,See full cast & crew,","4,411"
389,,"Miramar Film,See more »,",Bulgaria,Ilian Djevelekov,,Vezdesushtiyat (2017) ,7.7,"Velislav Pavlov,Teodora Duhovnikova,Vesela Babinova,|,See full cast & crew,",743
390,,"Anna Biller Productions,See more »,",USA,Anna Biller,,Viva (2007) ,6.0,"Anna Biller,Jared Sanford,Bridget Brno,|,See full cast & crew,",828
391,,"Israel Film Fund,Lama Hafakot and Metro Tikshoret,Mifal Hapais,See more »,",Israel,Michal Vinik,,Barash (2015) ,5.9,"Sivan Noam Shimon,Hadas Jade Sakori,Dvir Benedek,|,See full cast & crew,",626
392,,"BBC Films,British Film Institute (BFI),Arts Council of England,See more »,","UK,France,Japan,USA",John Maybury,"$343,023,",Love Is the Devil: Study for a Portrait of Francis Bacon (1998) ,6.4,"Derek Jacobi,Daniel Craig,Tilda Swinton,|,See full cast & crew,","3,063"
393,"$250,000","Baumgarten Films,See more »,",USA,Michael Baumgarten,,The Guest House (2012) ,3.5,"Ruth Reynolds,Madeline Merritt,Tom McCafferty,|,See full cast & crew,","1,274"
394,,,USA,Donald F. Glut,,The Mummy's Kiss (2003) ,4.8,"Mia Zottoli,Sasha Peralto,George Thomas,|,See full cast & crew,",445
395,"$15,000,000","Gaumont,Gaumont Production,Fabulous Films,See more »,","USA,France",Jon Sherman,,I'm with Lucy (2002) ,6.0,"Monica Potter,Craig Bierko,Linda Halaska,|,See full cast & crew,","3,139"
